項目分類,項目ID,評価項目名,説明文,記入例_サーバ001,記入例_サーバ002,記入例_サーバ003
B_技術構成・性能,B1-4,設定ファイル管理方式,DNS設定ファイルの管理・バックアップ方法,Git管理_自動バックアップ,手動コピー_週次,AWSコンソール_自動バックアップ
B_技術構成・性能,B1-5,パッチ適用履歴,セキュリティパッチ適用の履歴と管理状況,月次定期適用_記録管理,不定期適用_記録なし,AWS自動適用
B_技術構成・性能,B1-6,EOLサポート終了リスク,サポート終了に関するリスクと対応計画,2027年まで安全,2025年EOL_移行検討中,マネージド_リスクなし
B_技術構成・性能,B2-1,各レコード種別,設定されているDNSレコードの種別と数,A50_AAAA10_MX5_CNAME30,A15_MX2_CNAME5,A_AAAA_MX_CNAME_SRV対応
B_技術構成・性能,B2-2,TTL設定値適切性,各レコードのTTL値の適切性評価,300秒標準_適切,86400秒固定_要見直し,AWS推奨値_自動最適化
B_技術構成・性能,B2-3,設定内容整合性,DNSレコード設定の整合性チェック状況,月次チェック_問題なし,チェックなし_不明,AWS_自動検証
B_技術構成・性能,B2-4,逆引き設定状況,PTRレコード（逆引きDNS）の設定状況,設定済み_メール送信対応,未設定_要対応,AWS_自動設定
B_技術構成・性能,B2-5,ワイルドカード使用状況,ワイルドカードレコード(*.domain)の使用状況,限定使用_サブドメイン3個,未使用,開発環境で使用
B_技術構成・性能,B2-6,CNAME制限チェック,CNAMEレコードの制限事項遵守状況,制限遵守_問題なし,一部違反_要修正,自動検証_問題なし
B_技術構成・性能,B2-7,不要レコード存在確認,使用されていない不要レコードの確認状況,四半期クリーンアップ,未確認_蓄積あり,定期的な自動クリーンアップ
B_技術構成・性能,B3-1,DNS応答時間測定,DNSクエリの応答時間測定と評価,平均30ms_良好,平均80ms_要改善,平均15ms_優秀
B_技術構成・性能,B3-2,クエリ処理能力評価,秒間処理可能クエリ数の評価,1000qps_十分,100qps_ピーク時不足,無制限_スケーラブル
B_技術構成・性能,B3-3,負荷分散状況,DNS負荷分散の実装と効果測定,2台構成_負荷分散,単一サーバ_負荷集中,マネージド_自動分散
B_技術構成・性能,B3-4,冗長化レベル評価,DNSサーバ冗長化のレベルと信頼性,レベル2_2台構成,レベル1_単一構成,レベル3_マルチリージョン
B_技術構成・性能,B3-5,障害時切り替え機能,障害発生時の自動切替機能の実装状況,監視+手動切替_5分以内,切替機能なし_復旧まで停止,自動フェールオーバー_1分以内
B_技術構成・性能,B3-6,バックアップ機能,DNS設定のバックアップ機能と復旧手順,日次自動バックアップ_手順書あり,週次手動バックアップ,AWS_自動バックアップ
B_技術構成・性能,B3-7,レスポンス品質監視,DNS応答品質の継続的監視体制,Zabbix監視_24時間,手動確認_営業時間のみ,CloudWatch_自動監視
C_セキュリティ・アクセス制御,C1-1,DNSSEC署名状況,DNSSEC電子署名の実装状況,未実装_計画検討中,未実装_要対応,実装済み_自動管理
C_セキュリティ・アクセス制御,C1-2,鍵管理体制ポリシー,DNSSEC暗号鍵の管理体制とポリシー,未策定_実装時検討,未策定,AWS KMS管理
C_セキュリティ・アクセス制御,C1-3,検証設定状況,DNSSEC検証の設定状況,検証無効_要設定,検証無効,自動検証_有効
C_セキュリティ・アクセス制御,C1-4,DSレコード設定,上位ゾーンへのDSレコード設定状況,未設定_DNSSEC未実装,未設定,設定済み_委任関係正常
C_セキュリティ・アクセス制御,C1-5,鍵ローテーション計画,DNSSEC鍵の定期更新計画,未策定_実装時検討,未策定,自動ローテーション_月次
C_セキュリティ・アクセス制御,C1-6,署名エラー監視,DNSSEC署名エラーの監視体制,未実装_DNSSEC未対応,未実装,CloudWatch_自動監視
C_セキュリティ・アクセス制御,C2-1,管理画面認証方式,DNS管理画面のアクセス認証方法,SSH鍵認証+パスワード,Active Directory認証,AWS IAM + MFA
C_セキュリティ・アクセス制御,C2-2,IP制限設定状況,管理アクセスのIP制限設定状況,社内IP限定_VPN経由,社内ネットワークのみ,AWS_IAM条件で制限
C_セキュリティ・アクセス制御,C2-3,権限分離RBAC実装,役割ベースアクセス制御の実装状況,管理者/参照者_2段階,全員管理者権限_要改善,IAM_細かい権限制御
C_セキュリティ・アクセス制御,C2-4,多要素認証導入,多要素認証（MFA）の導入状況,未導入_検討中,未導入_要対応,Google Authenticator導入済み
C_セキュリティ・アクセス制御,C2-5,API認証トークン管理,DNS API認証トークンの管理状況,API未使用,API未使用,AWS API Key_定期ローテーション
C_セキュリティ・アクセス制御,C2-6,不正アクセス検知,不正アクセス試行の検知・アラート機能,fail2ban設定_ログ監視,ログ監視なし_要対応,AWS GuardDuty_自動検知
C_セキュリティ・アクセス制御,C3-1,アクセスログ取得状況,DNS管理アクセスのログ取得と保管状況,syslog_3ヶ月保管,Windowsログ_1ヶ月保管,CloudTrail_自動保管
C_セキュリティ・アクセス制御,C3-2,変更履歴管理,DNS設定変更の履歴管理状況,Git履歴_詳細記録,Excel管理_簡易記録,AWS_自動履歴管理
C_セキュリティ・アクセス制御,C3-3,異常検知機能,DNS関連の異常・攻撃検知機能,基本監視_しきい値アラート,監視なし_要改善,AWS_機械学習検知
C_セキュリティ・アクセス制御,C3-4,セキュリティログ分析,セキュリティログの定期分析実施状況,月次手動分析,分析未実施_要改善,自動分析_レポート生成
C_セキュリティ・アクセス制御,C3-5,脆弱性診断実施,DNS関連の脆弱性診断実施状況,年次外部診断,診断未実施_要検討,AWS_継続的診断
C_セキュリティ・アクセス制御,C3-6,セキュリティパッチ適用,DNSソフトウェアのセキュリティパッチ適用状況,月次定期適用_緊急時即時,不定期適用_遅延あり,AWS_自動適用
D_運用・管理体制,D1-1,管理者一覧連絡先,DNS管理者の一覧と連絡先整備状況,主担当2名_副担当3名_連絡先完備,担当1名_連絡先あり,複数名_オンコール体制
D_運用・管理体制,D1-2,役割権限分担明確化,管理者間の役割分担と権限の明確化状況,管理者/運用者/監視者_明確,全員同権限_要改善,階層別権限_明確
D_運用・管理体制,D1-3,エスカレーション体制,問題発生時のエスカレーション体制,L1→L2→L3_明確,担当者直接対応,24時間サポート体制
D_運用・管理体制,D1-4,代理代行者設定,主担当者不在時の代理・代行者設定状況,代理者2名設定_権限付与済み,代理者なし_要設定,複数名で相互カバー
D_運用・管理体制,D1-5,組織変更時引継体制,人事異動・組織変更時の引継体制,引継手順書_チェックリスト完備,口頭引継_要文書化,標準手順_定期訓練実施
D_運用・管理体制,D1-6,緊急時連絡体制,緊急事態発生時の連絡体制と手順,連絡網_自動通知_24時間対応,営業時間内のみ対応,オンコール_即時対応
D_運用・管理体制,D2-1,申請手続きフロー,DNS設定変更の申請手続きフロー,申請書→承認→作業_フロー明確,口頭申請_要改善,システム化_ワークフロー
D_運用・管理体制,D2-2,承認者承認基準,変更作業の承認者と承認基準,リーダー承認_影響度評価基準あり,課長承認_基準不明確,自動承認_ルールベース
D_運用・管理体制,D2-3,変更作業手順,DNS設定変更の標準作業手順,詳細手順書_チェックリスト完備,簡易手順メモ_要詳細化,GUI_直感的操作
D_運用・管理体制,D2-4,変更影響評価プロセス,変更による影響評価のプロセス,影響度分析_関係者確認,簡易確認_要改善,自動影響分析
D_運用・管理体制,D2-5,ロールバック手順,変更失敗時のロールバック手順,詳細手順_バックアップ連携,手順なし_要策定,自動ロールバック_スナップショット
D_運用・管理体制,D2-6,変更タイミングメンテナンス窓口,変更作業のタイミングとメンテナンス時間設定,平日夜間_メンテ時間設定,随時変更_調整なし,24時間_影響最小化
D_運用・管理体制,D3-1,障害検知体制,DNS障害の検知体制と仕組み,監視ツール_しきい値アラート,手動確認_要自動化,多層監視_自動検知
D_運用・管理体制,D3-2,対応手順連絡体制,障害発生時の対応手順と連絡体制,対応手順書_エスカレーション体制,口頭伝達_要文書化,自動通知_対応チーム
D_運用・管理体制,D3-3,復旧時間目標RTO,障害からの復旧時間目標設定,4時間以内_目標明確,目標未設定_要検討,1時間以内_SLA定義
D_運用・管理体制,D3-4,復旧ポイント目標RPO,データ損失許容範囲の目標設定,1時間以内_バックアップ連携,目標未設定_要検討,リアルタイム_データ同期
D_運用・管理体制,D3-5,障害原因分析改善,障害後の原因分析と改善実施体制,根本原因分析_改善実施,簡易報告_改善なし,自動分析_改善提案
D_運用・管理体制,D3-6,定期障害対応訓練,障害対応の定期的な訓練実施状況,四半期訓練_シナリオ更新,訓練未実施_要計画,年次訓練_実施記録
総合評価,TOTAL_SCORE,総合評価点数,全項目を総合した評価点数（0-100点）,78点,65点,85点
総合評価,RISK_LEVEL,総合リスクレベル,運用上のリスクレベル総合評価,中リスク,高リスク,低リスク
総合評価,PRIORITY_ACTION,最優先対応事項,最も優先して対応すべき課題,DNSSEC実装_冗長化改善,冗長化_監視体制構築,コスト最適化_標準化推進
総合評価,REMARKS,特記事項・備考,その他特記すべき事項や補足情報,ECサイト基盤_ビジネス影響大,内部システム_影響限定的,新システム_拡張予定あり
