大分類,中分類,項目ID,評価項目名,説明文,example.com,test.example.com,dev.example.org
B_技術構成・性能,B3_パフォーマンス・可用性,B3-6,バックアップ機能,DNS設定データのバックアップ**機能**と復旧手順の整備。技術機能の有無。※G2-2は自動化レベルを評価,週次バックアップ,同上,自動バックアップ
B_技術構成・性能,B3_パフォーマンス・可用性,B3-7,レスポンス品質監視,DNS応答品質の継続的監視体制。可用性・応答時間監視。,Zabbix監視,基本監視,CloudWatch_詳細監視
C_セキュリティ・アクセス制御,C1_DNSSEC対応,C1-1,DNSSEC署名状況,DNSSEC（DNS Security Extensions）の実装・署名状況。,未対応_計画中,同上,計画中_実装準備
C_セキュリティ・アクセス制御,C1_DNSSEC対応,C1-2,鍵管理体制ポリシー,DNSSEC署名鍵の管理体制・ポリシーの整備状況。,未策定,同上,AWS KMS管理
C_セキュリティ・アクセス制御,C1_DNSSEC対応,C1-3,検証設定状況,DNSSEC検証機能の設定状況。リゾルバでの検証設定。,未設定,同上,検討中
C_セキュリティ・アクセス制御,C1_DNSSEC対応,C1-4,DSレコード設定,上位ドメインでのDS（Delegation Signer）レコード設定状況。,無し,同上,検討中
C_セキュリティ・アクセス制御,C1_DNSSEC対応,C1-5,鍵ローテーション計画,DNSSEC署名鍵の定期的なローテーション計画・実施状況。,未策定,同上,自動化予定
C_セキュリティ・アクセス制御,C1_DNSSEC対応,C1-6,署名エラー監視,DNSSEC署名エラーやvalidation失敗の監視体制。,無し,同上,CloudWatch監視
C_セキュリティ・アクセス制御,C2_アクセス制御・認証,C2-1,管理画面認証方式,DNS管理画面・コンソールへの認証方式。Basic・多要素認証等。,Basic認証,同上,IAM認証
C_セキュリティ・アクセス制御,C2_アクセス制御・認証,C2-2,IP制限設定状況,管理アクセスのIP制限・ホワイトリスト設定状況。,社内IP制限,同上,IAM_IP制限
C_セキュリティ・アクセス制御,C2_アクセス制御・認証,C2-3,権限分離RBAC実装,Role-Based Access Control（RBAC）による権限分離実装状況。,未実装,同上,IAM_ロール・ポリシー
C_セキュリティ・アクセス制御,C2_アクセス制御・認証,C2-4,多要素認証導入,多要素認証（MFA）の導入状況。セキュリティ強化対策。,無し,同上,MFA_強制
C_セキュリティ・アクセス制御,C2_アクセス制御・認証,C2-5,API認証トークン管理,DNS API利用時の認証トークン管理状況。APIキー・OAuth等。,未実装,同上,API認証_トークン管理
C_セキュリティ・アクセス制御,C2_アクセス制御・認証,C2-6,不正アクセス検知,不正アクセス試行の検知・アラート機能。IPS・監視ツール等。,無し,同上,GuardDuty_脅威検知
C_セキュリティ・アクセス制御,C3_ログ・監査・脆弱性,C3-1,アクセスログ取得状況,DNS管理操作・アクセスログの取得・保管状況。,有り_syslog,同上,CloudTrail_全ログ
C_セキュリティ・アクセス制御,C3_ログ・監査・脆弱性,C3-2,変更履歴管理,DNS設定変更履歴の管理・追跡可能性。誰が・いつ・何を変更したか。,有り_変更管理台帳,同上,有り_Change管理
C_セキュリティ・アクセス制御,C3_ログ・監査・脆弱性,C3-3,異常検知機能,異常なDNSクエリパターン・攻撃の**基本検知機能**の有無。CloudWatch Logs異常検知・GuardDuty等。※H3-5は詳細分析を評価,基本監視,同上,CloudWatch_異常検知
C_セキュリティ・アクセス制御,C3_ログ・監査・脆弱性,C3-4,セキュリティログ分析,セキュリティログの定期的な**分析・レビュー体制**。手動分析プロセス。※G3-5は自動レポート作成を評価,月次レポート,同上,CloudWatch_セキュリティ監視
C_セキュリティ・アクセス制御,C3_ログ・監査・脆弱性,C3-5,脆弱性診断実施,DNSサーバ・設定の脆弱性診断実施状況と頻度。,年次実施,同上,AWS Inspector
C_セキュリティ・アクセス制御,C3_ログ・監査・脆弱性,C3-6,セキュリティパッチ適用,セキュリティパッチの適用体制・頻度。緊急パッチ対応手順。,月次適用,同上,自動セキュリティパッチ
D_運用・管理体制,D1_管理者・責任体制,D1-1,管理者一覧連絡先,DNS管理者・担当者の一覧と緊急連絡先情報。,田中主任_090-xxxx-xxxx,山田_開発責任者,鈴木_クラウドアーキテクト
D_運用・管理体制,D1_管理者・責任体制,D1-2,役割権限分担明確化,管理者間の役割分担・権限範囲の明確化。運用・開発・承認権限等。,明確_運用・開発分離,開発チーム内,IAM_役割分離
D_運用・管理体制,D1_管理者・責任体制,D1-3,エスカレーション体制,問題・障害発生時のエスカレーション体制・ルート。,有り_段階的エスカレーション,簡易体制,AWS Support_エンタープライズ
D_運用・管理体制,D1_管理者・責任体制,D1-4,代理代行者設定,主担当者不在時の代理・代行者設定。引継体制。,副担当・佐藤,無し,複数担当者_ローテーション
D_運用・管理体制,D1_管理者・責任体制,D1-5,組織変更時引継体制,組織変更・人事異動時の引継体制・手順の整備。,有り_引継書,無し,有り_プレイブック
D_運用・管理体制,D1_管理者・責任体制,D1-6,緊急時連絡体制,緊急時・障害時の連絡体制。24時間対応・オンコール体制。,24時間オンコール体制,営業時間のみ,24時間_AWS Support
D_運用・管理体制,D2_申請・変更管理,D2-1,申請手続きフロー,DNS変更申請の手続き・承認フロー。申請書類・システム。,メール申請フォーム,口頭依頼,AWS Console_API
D_運用・管理体制,D2_申請・変更管理,D2-2,承認者承認基準,変更承認者と承認基準・権限範囲の明確化。,田中主任_技術審査,山田,複数承認者
D_運用・管理体制,D2_申請・変更管理,D2-3,変更作業手順,DNS変更作業の詳細手順書・チェックリストの整備。,詳細手順書,簡易手順,Infrastructure as Code
D_運用・管理体制,D2_申請・変更管理,D2-4,変更影響評価プロセス,変更による影響度評価・リスクアセスメントプロセス。,影響度評価シート,無し,自動影響度評価
D_運用・管理体制,D2_申請・変更管理,D2-5,ロールバック手順,変更失敗時のロールバック手順・復旧計画の整備。,ロールバック手順書,無し,GitOps_ロールバック
D_運用・管理体制,D2_申請・変更管理,D2-6,変更タイミングメンテナンス窓口,変更作業のタイミング・メンテナンス窓口設定。影響最小化。,平日19-21時_メンテナンス窓口,開発時間内,24時間対応_自動化
D_運用・管理体制,D3_障害対応・復旧,D3-1,障害検知体制,DNS障害・異常の検知体制。監視ツール・アラート設定。,Zabbix_5分間隔,基本監視,CloudWatch_1分間隔
D_運用・管理体制,D3_障害対応・復旧,D3-2,対応手順連絡体制,障害発生時の対応手順・連絡体制。初動対応・エスカレーション。,連絡体制_メール・電話,開発チーム,AWS Support_24時間
D_運用・管理体制,D3_障害対応・復旧,D3-3,復旧時間目標RTO,障害復旧時間**目標**（RTO: Recovery Time Objective）の設定。目標値定義。※G2-3は自動復旧機能; H4-3は実績評価,4時間以内,即日対応,1時間以内_自動復旧
D_運用・管理体制,D3_障害対応・復旧,D3-4,復旧ポイント目標RPO,データ復旧ポイント**目標**（RPO: Recovery Point Objective）の設定。目標値定義。※G2-3は自動復旧機能; H4-3は実績評価,24時間以内,即日対応,5分以内_自動復旧
D_運用・管理体制,D3_障害対応・復旧,D3-5,障害原因分析改善,障害の根本原因分析・改善策実施の体制・プロセス。,根本原因分析_報告書,簡易分析,自動根本原因分析
D_運用・管理体制,D3_障害対応・復旧,D3-6,定期障害対応訓練,障害対応訓練・DR訓練の定期実施。手順検証・スキル向上。,半年毎訓練,無し,月次_カオスエンジニアリング
E_契約・コスト管理,E1_契約・ベンダー管理,E1-1,契約会社契約期間,DNS関連サービスの契約会社・契約期間の管理状況。※A2-4はドメイン契約業者; E1-1はDNSサービス運用業者（異なる場合有り）。,ValueDomain_3年契約,同上,AWS_エンタープライズ契約
E_契約・コスト管理,E1_契約・ベンダー管理,E1-2,契約条件SLA内容,SLA（Service Level Agreement）契約条件・保証レベル。,SLA99%_応答時間保証,テスト用_SLA無し,SLA99.9%_金銭保証
E_契約・コスト管理,E1_契約・ベンダー管理,E1-3,更新解約条件,契約更新・解約条件・手続き。自動更新・通知期間等。,1年自動更新_3ヶ月前通知,同上,3年契約_自動更新
E_契約・コスト管理,E1_契約・ベンダー管理,E1-4,ベンダー評価関係管理,ベンダーとの関係管理・定期評価の実施状況。,四半期評価,同上,四半期ビジネスレビュー
E_契約・コスト管理,E1_契約・ベンダー管理,E1-5,複数ベンダー依存リスク,単一ベンダー依存リスクの評価・複数ベンダー活用状況。,低リスク_メイン・バックアップ,単一ベンダー,低リスク_AWS責任共有
E_契約・コスト管理,E1_契約・ベンダー管理,E1-6,ベンダーロックイン対策,ベンダーロックイン回避策・移行可能性の確保。,代替案検討済み,同上,マルチクラウド戦略
E_契約・コスト管理,E2_コスト把握・最適化,E2-1,月額年額費用詳細,DNS関連の月額・年額費用の詳細把握。隠れコストも含む。,月額8000円_ドメイン・DNS込み,無料枠_開発用,Reserved Instance_大幅削減
E_契約・コスト管理,E2_コスト把握・最適化,E2-2,従量課金変動費用,従量課金・変動費用の把握・予測。クエリ数・トラフィック連動。,無し_固定料金,同上,従量課金_予測可能
E_契約・コスト管理,E2_コスト把握・最適化,E2-3,隠れコスト追加費用,隠れコスト・追加費用の把握。SSL証明書・サポート費用等。,SSL証明書_年額別途,同上,無し_透明性高
E_契約・コスト管理,E2_コスト把握・最適化,E2-4,コスト配賦部門別管理,部門別・プロジェクト別のコスト配賦・管理体制。,部門別配賦,開発予算,クラウド会計_タグ管理
E_契約・コスト管理,E2_コスト把握・最適化,E2-5,費用対効果分析,DNS投資の費用対効果分析・ROI評価の実施。,ROI_年次評価,同上,詳細ROI分析_四半期
E_契約・コスト管理,E2_コスト把握・最適化,E2-6,コスト最適化機会,コスト最適化の機会・改善余地の定期的な検討。,統合検討_コスト削減余地,同上,Trusted Advisor_継続最適化
F_文書化・ナレッジ管理,F1_技術文書・設計,F1-1,設計書構成図整備,DNS設計書・システム構成図の整備状況。最新性・精度。,有り_Visio図面,簡易版,有り_CloudFormation
F_文書化・ナレッジ管理,F1_技術文書・設計,F1-2,設定内容パラメータ文書,DNS設定内容・パラメータの文書化状況。設定値一覧。,有り_設定パラメータ一覧,簡易版,有り_パラメータストア
F_文書化・ナレッジ管理,F1_技術文書・設計,F1-3,技術仕様書管理,技術仕様書・要件定義書の管理・バージョン管理状況。,有り_技術仕様書v2.1,基本仕様書,有り_AWS Config
F_文書化・ナレッジ管理,F1_技術文書・設計,F1-4,ネットワーク図物理構成,ネットワーク構成図・物理構成の文書化。関連システム図。,有り_ネットワーク構成図,基本構成,有り_AWS Network図
F_文書化・ナレッジ管理,F1_技術文書・設計,F1-5,依存関係マッピング,他システム・サービスとの依存関係マッピング・影響範囲図。DNSに依存する業務アプリ; メールサーバ; Webサーバ等との関連図（例：DNS停止→Webサービス全停止の影響フロー）。,有り_依存関係図,無し,有り_Service Map
F_文書化・ナレッジ管理,F1_技術文書・設計,F1-6,アーキテクチャ決定記録,アーキテクチャ決定記録（ADR）・設計判断理由の記録。,有り_ADR形式,無し,有り_Well-Architected
F_文書化・ナレッジ管理,F2_運用手順・プロセス,F2-1,日常運用手順書,日常運用・保守作業の手順書整備。標準化・属人化解消。,有り_日常運用手順v1.2,基本手順,有り_運用Playbook
F_文書化・ナレッジ管理,F2_運用手順・プロセス,F2-2,障害対応手順書,障害対応・インシデント対応の詳細手順書整備。,有り_障害対応手順v1.1,基本手順,有り_Incident Response
F_文書化・ナレッジ管理,F2_運用手順・プロセス,F2-3,変更作業手順書,変更作業・メンテナンス作業の手順書整備。,有り_変更手順書,基本手順,有り_Change Management
F_文書化・ナレッジ管理,F2_運用手順・プロセス,F2-4,定期メンテナンス手順,定期メンテナンス作業の手順・チェックリスト。,有り_月次メンテナンス手順,無し,有り_メンテナンス自動化
F_文書化・ナレッジ管理,F2_運用手順・プロセス,F2-5,チェックリスト確認項目,作業チェックリスト・確認項目の整備。品質管理・ヒューマンエラー防止。,有り_チェックリスト,基本項目,有り_詳細チェックリスト
F_文書化・ナレッジ管理,F2_運用手順・プロセス,F2-6,作業手順標準化,作業手順の標準化・テンプレート化状況。組織内統一。,部分的_標準テンプレート,無し,完全標準化_テンプレート
F_文書化・ナレッジ管理,F3_履歴・ナレッジ,F3-1,変更履歴作業ログ,変更作業・設定変更の履歴・ログ管理。トレーサビリティ確保。,有り_Git管理,開発ログ,有り_GitOps
F_文書化・ナレッジ管理,F3_履歴・ナレッジ,F3-2,問題対応履歴,問題・インシデントの対応履歴・事例管理。,有り_インシデント管理,無し,有り_Service Now
F_文書化・ナレッジ管理,F3_履歴・ナレッジ,F3-3,ナレッジベースFAQ,技術ナレッジベース・FAQ・トラブルシューティング事例。,有り_社内Wiki,開発Wiki,有り_Confluence
F_文書化・ナレッジ管理,F3_履歴・ナレッジ,F3-4,教訓改善事項記録,障害・問題から得られた教訓・改善事項の記録・共有。,有り_教訓データベース,無し,有り_Lessons Learned
F_文書化・ナレッジ管理,F3_履歴・ナレッジ,F3-5,定期レビュー更新,文書・手順の定期的なレビュー・更新体制。最新性保持。,四半期レビュー,不定期,継続的改善_DevOps
F_文書化・ナレッジ管理,F3_履歴・ナレッジ,F3-6,文書バージョン管理,文書・手順書のバージョン管理・変更管理体制。,有り_Git_バージョン管理,無し,有り_Git_完全バージョン管理
G_監視・運用自動化,G1_監視体制・アラート,G1-1,監視項目閾値設定,DNS監視項目・閾値設定の適切性。応答時間・可用性・エラー率等。,基本監視_CPU・メモリ・応答時間,基本監視,CloudWatch_詳細メトリクス
G_監視・運用自動化,G1_監視体制・アラート,G1-2,アラート通知体制,監視アラートの通知体制・エスカレーション設定。,メール・Slack通知,メール通知,多チャンネル_PagerDuty
G_監視・運用自動化,G1_監視体制・アラート,G1-3,ダッシュボード整備,監視ダッシュボード・可視化の整備状況。リアルタイム状況把握。,Grafana_基本ダッシュボード,無し,AWS QuickSight_ダッシュボード
G_監視・運用自動化,G1_監視体制・アラート,G1-4,監視データ保管分析,監視データの保管期間・履歴分析体制。傾向分析・改善。,1ヶ月保管_ログ分析,1週間,長期保管_S3_分析可能
G_監視・運用自動化,G1_監視体制・アラート,G1-5,監視システム冗長化,監視システム自体の冗長化・可用性確保。監視の監視。,単一構成_冗長化予定,無し,完全冗長_マルチAZ
G_監視・運用自動化,G1_監視体制・アラート,G1-6,監視漏れ盲点確認,監視漏れ・盲点の定期的な確認・改善。監視品質向上。※G1-1は監視設定; H3-1は実トラフィック分析を評価。,定期点検_盲点チェック,無し,AI監視_異常検知
G_監視・運用自動化,G2_自動化・効率化,G2-1,設定変更自動化,DNS設定変更の自動化レベル。Infrastructure as Code対応。,無し_手動運用,無し,Infrastructure as Code
G_監視・運用自動化,G2_自動化・効率化,G2-2,バックアップ自動化,DNS設定・データの自動バックアップ**体制・自動化レベル**。運用自動化の程度。※B3-6は技術機能を評価,無し_手動バックアップ,無し,自動バックアップ_スナップショット
G_監視・運用自動化,G2_自動化・効率化,G2-3,復旧自動化セルフヒーリング,障害時の**自動復旧・セルフヒーリング機能**の実装レベル。技術実装。※D3-3,D3-4は目標設定; H4-3は実績評価,無し_手動復旧,無し,Auto Scaling_自己修復
G_監視・運用自動化,G2_自動化・効率化,G2-4,定期タスク自動実行,定期的なメンテナンスタスクの自動実行。cron・スケジューラ活用。,cron_基本タスク,無し,EventBridge_自動化
G_監視・運用自動化,G2_自動化・効率化,G2-5,CICD統合デプロイ自動化,CI/CD統合によるDNS設定のデプロイ自動化。DevOps実践。,無し_手動デプロイ,無し,CI/CD_完全自動化
G_監視・運用自動化,G2_自動化・効率化,G2-6,インシデント自動エスカレーション,インシデントの自動エスカレーション・対応自動化。,無し_手動エスカレーション,無し,自動エスカレーション_PagerDuty
G_監視・運用自動化,G3_レポーティング・分析,G3-1,定期レポート自動作成,DNS運用状況の定期レポート自動作成・配信。,月次レポート_手動作成,無し,自動レポート_QuickSight
G_監視・運用自動化,G3_レポーティング・分析,G3-2,KPI測定トレンド分析,KPI（Key Performance Indicator）測定・トレンド分析。,基本KPI_可用性のみ,無し,詳細KPI_ダッシュボード
G_監視・運用自動化,G3_レポーティング・分析,G3-3,改善提案推奨事項,データ分析に基づく改善提案・推奨事項の自動生成。,年次改善提案,無し,AI推奨_継続改善
G_監視・運用自動化,G3_レポーティング・分析,G3-4,可用性性能レポート,可用性・性能に関する詳細レポート・SLA監視。,月次可用性レポート,無し,SLA監視_自動レポート
G_監視・運用自動化,G3_レポーティング・分析,G3-5,セキュリティレポート,セキュリティ監視・脅威分析レポートの自動作成。,基本セキュリティ監視,無し,Security Hub_統合監視
G_監視・運用自動化,G3_レポーティング・分析,G3-6,コストレポート最適化提案,コスト分析・最適化提案レポートの自動作成。,四半期コスト分析,無し,詳細コスト分析_予測
H_DNS環境可視化・関連性,H1_サービス・アプリケーション関連性,H1-1,ドメインアプリケーション対応表,DNSドメインと業務アプリケーションの対応関係の整理・可視化。どのドメインがどの業務システムで使われているかの一覧表（例：sales.example.com→営業管理システム、hr.example.com→人事システム）。,有り_業務アプリ対応表,テスト用_簡易対応,完全対応表_Service Catalog
H_DNS環境可視化・関連性,H1_サービス・アプリケーション関連性,H1-2,WebサービスAPIエンドポイント関連,WebサービスAPI・エンドポイントとDNSの関連付け管理。REST API・GraphQL等のエンドポイントURL（例：api.example.com/v1/users）とDNSレコードの対応関係管理。,有り_API_3システム,無し,マイクロサービス_完全対応
H_DNS環境可視化・関連性,H1_サービス・アプリケーション関連性,H1-3,メールシステムMXレコード関連,メールシステム・MXレコードとの関連付け・依存関係。メール送受信で使用するMXレコード（例：example.com MX 10 mail.example.com）とメールサーバ・メールサービスの対応関係管理。,有り_メール配信システム,無し,SES_大規模配信
H_DNS環境可視化・関連性,H1_サービス・アプリケーション関連性,H1-4,CDNロードバランサ関連,CDN・ロードバランサーとDNSの関連付け・連携状況。DNS設定とCDNエッジサーバ・ロードバランサの連携管理（例：www.example.com→CloudFront→オリジンサーバ）。,CloudFlare併用,無し,CloudFront_グローバル
H_DNS環境可視化・関連性,H1_サービス・アプリケーション関連性,H1-5,マイクロサービス間通信利用状況,マイクロサービスアーキテクチャでのDNS利用・サービス間通信。Service A→Service B間でのDNS名前解決使用状況（例：user-service.internal→order-service.internal）。,未使用_モノリス構成,無し,Service Mesh_完全対応
H_DNS環境可視化・関連性,H1_サービス・アプリケーション関連性,H1-6,外部サービス連携DNS依存関係,外部サービス・API連携でのDNS依存関係の整理。自社システムが外部API（例：payment-api.stripe.com、api.github.com）を呼び出す際のDNS依存関係管理。,有り_外部API_5システム,同上,完全統合_API Gateway
H_DNS環境可視化・関連性,H2_インフラ・ネットワーク関連性,H2-1,クラウドサービス利用状況,クラウドサービス（AWS Route53、Azure DNS等）の利用状況。,AWS Route53併用,同上,AWS_ネイティブ
H_DNS環境可視化・関連性,H2_インフラ・ネットワーク関連性,H2-2,オンプレハイブリッドクラウド構成,オンプレミス・ハイブリッドクラウド構成でのDNS設計。,オンプレメイン_クラウド副,同上,マルチクラウド_ハイブリッド
H_DNS環境可視化・関連性,H2_インフラ・ネットワーク関連性,H2-3,VPN専用線DNS解決経路,VPN・専用線経由でのDNS解決経路・設定。,社内VPN経由,同上,VPC_Transit Gateway
H_DNS環境可視化・関連性,H2_インフラ・ネットワーク関連性,H2-4,内部DNS連携,内部DNS（Active Directory等）との連携・フォワーディング設定。,Active Directory連携,同上,AWS Directory Service
H_DNS環境可視化・関連性,H2_インフラ・ネットワーク関連性,H2-5,プロキシファイアウォールDNS処理,プロキシ・ファイアウォールでのDNS処理・フィルタリング設定。,プロキシ経由_設定要確認,未設定,AWS WAF_Application LB
H_DNS環境可視化・関連性,H2_インフラ・ネットワーク関連性,H2-6,コンテナKubernetes環境DNS設定,コンテナ・Kubernetes環境でのDNS設定・CoreDNS等。,未対応_コンテナ未使用,未対応,EKS_完全対応
