項目分類,項目ID,評価項目名,説明文,記入例_サーバ001,記入例_サーバ002,記入例_サーバ003
A_ドメイン・ゾーン管理,A3-5,フェールオーバー機能,障害時の自動切り替え機能。プライマリ障害時のセカンダリへの切り替え。,手動切り替え,自動フェールオーバー設定,Route53_ヘルスチェック自動切替
A_ドメイン・ゾーン管理,A3-6,DNS事業者サービス種別,使用しているDNSサービスの種類。オンプレミス・クラウド・ハイブリッド構成。,オンプレミス_BIND,社内Windows_DNS,AWS_Route53マネージド
B_技術構成・性能,B1-1,利用ソフトウェア,使用しているDNSサーバソフトウェアの種類。BIND・PowerDNS・Windows DNS等。,BIND_9.16.1,Windows_Server_2019_DNS,AWS_Route53_マネージド
B_技術構成・性能,B1-2,バージョン情報サポート状況,DNSソフトウェアのバージョンとサポート状況。セキュリティパッチ適用状況。,9.16.1_サポート中,Server2019_最新パッチ適用,AWS_自動アップデート
B_技術構成・性能,B1-3,ライセンス状況,DNSソフトウェアのライセンス状況確認。オープンソース・商用ライセンスの確認。,オープンソース_GPL,Windows_ライセンス購入済み,AWS_従量課金制
B_技術構成・性能,B1-4,設定ファイル管理方式,DNS設定ファイルの管理方法。バージョン管理・バックアップ体制。,手動編集_Git管理,GUI管理_定期バックアップ,AWS_Console・API管理
B_技術構成・性能,B1-5,パッチ適用履歴,セキュリティパッチの適用履歴と定期性。脆弱性対応状況。,月次適用_記録管理,Windows_Update自動,AWS_自動適用
B_技術構成・性能,B1-6,EOLサポート終了リスク,ソフトウェアサポート終了リスク。アップグレード計画の有無。,サポート中_EOL_2025年,サポート中_延長保守,AWS_サポート継続
B_技術構成・性能,B2-1,各レコード種別,設定しているDNSレコードの種類。A・AAAA・CNAME・MX・TXT等の設定状況。,A・AAAA・MX・CNAME設定,A・CNAME・MX設定,全レコードタイプ対応
B_技術構成・性能,B2-2,TTL設定値適切性,Time To Live設定値の適切性。キャッシュ効果とリアルタイム性のバランス。,300秒設定_適切,86400秒_長すぎ,適応的TTL_自動調整
B_技術構成・性能,B2-3,設定内容整合性,DNSレコード設定の整合性チェック。矛盾する設定や不整合の有無。,定期チェック実施,手動確認のみ,AWS_自動整合性チェック
B_技術構成・性能,B2-4,逆引き設定状況,IPアドレスからホスト名への逆引き設定状況。PTRレコードの設定。,逆引き設定済み,逆引き未設定,AWS_自動逆引き
B_技術構成・性能,B2-5,ワイルドカード使用状況,ワイルドカード（*.example.com）の使用状況。セキュリティリスクの考慮。,未使用,限定使用_subdomain,使用_セキュリティ考慮済み
B_技術構成・性能,B2-6,CNAME制限チェック,CNAMEレコードの制限事項チェック。ルートドメインやMXレコードとの併用制限。,制限遵守,一部制限違反,AWS_自動制限チェック
B_技術構成・性能,B2-7,不要レコード存在確認,使われていない古いDNSレコードの存在確認。定期的なクリーンアップ状況。,月次クリーンアップ,未実施_蓄積,AWS_利用状況分析
B_技術構成・性能,B3-1,DNS応答時間測定,DNSクエリの応答時間測定。性能監視とボトルネック特定。,平均50ms_良好,平均200ms_要改善,平均10ms_優秀
B_技術構成・性能,B3-2,クエリ処理能力評価,秒間処理可能クエリ数の評価。負荷テスト結果。,1000qps処理可能,100qps_スペック不足,10000qps_高性能
B_技術構成・性能,B3-3,負荷分散状況,複数DNSサーバ間での負荷分散状況。トラフィック分散の効果測定。,手動分散_効果限定,分散なし_単一構成,自動分散_最適化済み
B_技術構成・性能,B3-4,冗長化レベル評価,システム冗長化の水準評価。単一点障害（SPOF）の有無。,レベル2_基本冗長化,レベル1_単一構成,レベル5_完全冗長化
B_技術構成・性能,B3-5,障害時切り替え機能,障害発生時の自動切り替え機能。フェールオーバー時間とRTO。,手動切替_30分,自動切替_5分,即座切替_秒レベル
B_技術構成・性能,B3-6,バックアップ機能,DNS設定データのバックアップ機能。リストア手順の整備。,日次バックアップ,週次バックアップ,リアルタイムバックアップ
B_技術構成・性能,B3-7,レスポンス品質監視,DNSレスポンスの品質監視。エラー率・タイムアウト率の監視。,基本監視_Zabbix,監視なし,CloudWatch_詳細監視
C_セキュリティ・アクセス制御,C1-1,DNSSEC署名状況,DNSSEC（DNS Security Extensions）の実装状況。データ完全性とauthentication。,未実装,検討中,実装済み_自動管理
C_セキュリティ・アクセス制御,C1-2,鍵管理体制ポリシー,DNSSEC鍵（KSK・ZSK）の管理体制とポリシー。鍵の生成・保管・更新手順。,未策定,基本ポリシー策定中,厳格な鍵管理体制
C_セキュリティ・アクセス制御,C1-3,検証設定状況,DNSSEC検証機能の設定状況。署名の検証とエラーハンドリング。,未設定,基本設定,完全検証設定
C_セキュリティ・アクセス制御,C1-4,DSレコード設定,DS（Delegation Signer）レコードの親ゾーンへの設定状況。信頼チェーンの構築。,未設定,設定準備中,設定済み_信頼チェーン完成
C_セキュリティ・アクセス制御,C1-5,鍵ローテーション計画,DNSSEC鍵の定期ローテーション計画。セキュリティ維持のための鍵更新。,未策定,年次計画策定,自動ローテーション
C_セキュリティ・アクセス制御,C1-6,署名エラー監視,DNSSEC署名エラーの監視体制。期限切れや検証失敗の検知。,監視なし,基本監視,詳細監視_自動修復
C_セキュリティ・アクセス制御,C2-1,管理画面認証方式,DNS管理画面のアクセス認証方式。Basic認証・Active Directory・多要素認証等。,Basic認証,Windows統合認証,多要素認証
C_セキュリティ・アクセス制御,C2-2,IP制限設定状況,管理画面アクセスのIP制限設定。特定IPからのみアクセス許可。,社内IP制限,VPN接続必須,AWS_Security_Group制限
C_セキュリティ・アクセス制御,C2-3,権限分離RBAC実装,役割ベースアクセス制御（RBAC）の実装状況。管理者・操作者・閲覧者の権限分離。,基本権限分離,管理者権限のみ,細分化RBAC
C_セキュリティ・アクセス制御,C2-4,多要素認証導入,多要素認証（MFA）の導入状況。パスワード+SMS・トークン等の二段階認証。,未導入,検討中,導入済み_ハードトークン
C_セキュリティ・アクセス制御,C2-5,API認証トークン管理,DNS API利用時のアクセストークン管理。APIキーの生成・ローテーション・無効化。,API未使用,基本トークン管理,厳格なトークン管理
C_セキュリティ・アクセス制御,C2-6,不正アクセス検知,DNS管理システムへの不正アクセス検知。ログ監視・異常検知の仕組み。,ログ監視のみ,基本検知,AI異常検知
C_セキュリティ・アクセス制御,C3-1,アクセスログ取得状況,DNS管理システムのアクセスログ取得状況。誰が・いつ・何を変更したかの記録。,基本ログ記録,詳細ログ記録,完全監査ログ
C_セキュリティ・アクセス制御,C3-2,変更履歴管理,DNS設定変更の履歴管理。変更前後の差分記録と承認フロー。,手動記録,自動変更履歴,承認フロー付き履歴
C_セキュリティ・アクセス制御,C3-3,異常検知機能,DNS動作の異常検知機能。異常なクエリ・レスポンス・トラフィックの検知。,基本監視,異常検知アラート,AI機械学習検知
C_セキュリティ・アクセス制御,C3-4,セキュリティログ分析,セキュリティ関連ログの分析体制。攻撃パターンや脆弱性の発見。,手動分析,定期分析,リアルタイム分析
C_セキュリティ・アクセス制御,C3-5,脆弱性診断実施,DNSシステムの脆弱性診断実施状況。ペネトレーションテストやスキャン。,未実施,年次診断,四半期診断
C_セキュリティ・アクセス制御,C3-6,セキュリティパッチ適用,セキュリティパッチの適用体制。緊急パッチの適用手順と定期メンテナンス。,手動適用,計画的適用,自動適用
D_運用・管理体制,D1-1,管理者一覧連絡先,DNS管理者の一覧と緊急連絡先。主担当・副担当・エスカレーション先の明確化。,主担当田中_副担当鈴木,佐藤課長_連絡先明確,24時間サポート体制
D_運用・管理体制,D1-2,役割権限分担明確化,管理者間の役割分担と権限の明確化。設定変更・承認・監視等の責任分界。,役割分担表有り,管理者権限共通,詳細権限マトリクス
D_運用・管理体制,D1-3,エスカレーション体制,障害・問題発生時のエスカレーション体制。レベル1・2・3サポートの階層。,基本エスカレーション,管理者直接対応,3段階エスカレーション
D_運用・管理体制,D1-4,代理代行者設定,主管理者不在時の代理者設定。休暇・出張時の業務継続体制。,代理者指定済み,代理者不在,複数代理者体制
D_運用・管理体制,D1-5,組織変更時引継体制,組織変更・人事異動時の引継体制。管理権限の移管手順。,引継手順書有り,口頭引継のみ,システム化引継
D_運用・管理体制,D1-6,緊急時連絡体制,緊急障害時の連絡体制。24時間365日の連絡網と対応体制。,平日日中のみ,オンコール体制,24時間365日体制
D_運用・管理体制,D2-1,申請手続きフロー,DNS設定変更の申請手続きフロー。申請書・承認・作業指示の流れ。,メール申請,申請システム,ワークフロー承認
D_運用・管理体制,D2-2,承認者承認基準,変更申請の承認者と承認基準。影響度別の承認ルート。,課長承認,部長承認,影響度別承認
D_運用・管理体制,D2-3,変更作業手順,DNS設定変更の標準作業手順。手順書の整備と標準化。,手順書有り,口伝手順,詳細手順書+チェックリスト
D_運用・管理体制,D2-4,変更影響評価プロセス,変更による影響評価のプロセス。事前影響調査と関係者への通知。,簡易評価,影響調査有り,詳細影響評価
D_運用・管理体制,D2-5,ロールバック手順,変更失敗時のロールバック手順。設定戻し・切り戻し操作の準備。,基本手順有り,手動戻し,自動ロールバック
D_運用・管理体制,D2-6,変更タイミングメンテナンス窓口,定期メンテナンス窓口の設定。業務影響を最小化する変更タイミング。,平日夜間,休日作業,メンテナンス窓口設定
D_運用・管理体制,D3-1,障害検知体制,DNS障害の検知体制。監視システム・アラート・通知の仕組み。,基本監視,詳細監視,多層監視
D_運用・管理体制,D3-2,対応手順連絡体制,障害対応手順と連絡体制。初動対応・状況報告・復旧作業の流れ。,基本手順,詳細手順書,インシデント管理
D_運用・管理体制,D3-3,復旧時間目標RTO,目標復旧時間（RTO：Recovery Time Objective）の設定。業務要件に基づく目標時間。,4時間以内,1時間以内,15分以内
D_運用・管理体制,D3-4,復旧ポイント目標RPO,目標復旧ポイント（RPO：Recovery Point Objective）の設定。データロス許容時間。,1日以内,1時間以内,5分以内
D_運用・管理体制,D3-5,障害原因分析改善,障害原因の分析と改善活動。根本原因分析（RCA）と再発防止策。,基本分析,詳細分析,継続改善活動
D_運用・管理体制,D3-6,定期障害対応訓練,障害対応訓練の定期実施。手順確認・技能向上・チーム連携の強化。,年1回訓練,四半期訓練,月次訓練
E_契約・コスト管理,E1-1,契約会社契約期間,DNS関連サービスの契約会社と契約期間。ドメイン・DNSサーバ・監視等の契約状況。,ValueDomain_1年契約,ムームードメイン_2年,AWS_従量制
E_契約・コスト管理,E1-2,契約条件SLA内容,サービス契約のSLA（Service Level Agreement）内容。可用性・応答時間・サポート等の保証。,SLA無し,基本SLA_99.9%,Enterprise_SLA_99.99%
E_契約・コスト管理,E1-3,更新解約条件,契約の更新・解約条件。自動更新・解約手数料・最低利用期間等の確認。,自動更新_1年,手動更新,月次解約可能
E_契約・コスト管理,E1-4,ベンダー評価関係管理,ベンダーとの関係管理とパフォーマンス評価。サービス品質・サポート品質の評価。,年次評価,評価未実施,定期評価_改善要求
E_契約・コスト管理,E1-5,複数ベンダー依存リスク,複数ベンダー利用時の依存リスク評価。単一ベンダー障害の影響範囲。,低リスク_分散,中リスク_集約,高リスク_単一依存
E_契約・コスト管理,E1-6,ベンダーロックイン対策,ベンダーロックイン対策。他社への移行可能性・標準技術の採用。,標準技術採用,一部独自仕様,完全独自仕様
E_契約・コスト管理,E2-1,月額年額費用詳細,DNS関連サービスの費用詳細。月額・年額・初期費用・オプション費用の内訳。,月額5000円,年額30万円,従量制_月平均2万円
E_契約・コスト管理,E2-2,従量課金変動費用,従量課金制の変動費用。クエリ数・転送量・機能利用に応じた課金。,固定費用のみ,一部従量制,完全従量制
E_契約・コスト管理,E2-3,隠れコスト追加費用,隠れた追加費用。サポート費用・カスタマイズ費用・データ移行費用等。,隠れコストなし,サポート費用別,複数隠れコスト
E_契約・コスト管理,E2-4,コスト配賦部門別管理,DNS関連コストの部門別配賦管理。利用部門への費用按分方法。,全社共通費,部門別按分,利用量按分
E_契約・コスト管理,E2-5,費用対効果分析,DNS投資の費用対効果分析。コスト削減・業務効率化・リスク軽減の効果測定。,分析未実施,簡易分析,詳細ROI分析
E_契約・コスト管理,E2-6,コスト最適化機会,コスト最適化の機会発見。プラン見直し・統合・効率化によるコスト削減。,最適化未検討,基本見直し,継続的最適化
F_文書化・ナレッジ管理,F1-1,設計書構成図整備,DNS環境の設計書・構成図の整備状況。ネットワーク図・サーバ構成・データフロー図。,基本構成図有り,詳細設計書完備,リアルタイム更新図
F_文書化・ナレッジ管理,F1-2,設定内容パラメータ文書,DNS設定内容とパラメータの文書化。ゾーンファイル・設定値・チューニングパラメータ。,基本設定記録,詳細パラメータ文書,自動設定文書生成
F_文書化・ナレッジ管理,F1-3,技術仕様書管理,技術仕様書の管理状況。アーキテクチャ・インタフェース・制約事項の文書化。,基本仕様書,詳細仕様書,バージョン管理仕様書
F_文書化・ナレッジ管理,F1-4,ネットワーク図物理構成,ネットワーク図・物理構成図の整備。論理構成と物理構成の関連図。,概要図のみ,詳細構成図,自動生成構成図
F_文書化・ナレッジ管理,F1-5,依存関係マッピング,システム間・サービス間の依存関係マッピング。DNS依存関係の可視化。,基本関連図,詳細依存関係図,動的依存関係分析
F_文書化・ナレッジ管理,F1-6,アーキテクチャ決定記録,アーキテクチャ決定記録（ADR）の管理。技術選択・設計決定の経緯と理由。,決定記録なし,基本記録,詳細ADR管理
F_文書化・ナレッジ管理,F2-1,日常運用手順書,日常運用作業の手順書整備。監視・点検・定期作業の標準化。,基本手順書,詳細手順書,自動化手順書
F_文書化・ナレッジ管理,F2-2,障害対応手順書,障害対応の手順書整備。症状別・レベル別の対応手順と判断基準。,基本手順,詳細対応手順,シナリオ別手順書
F_文書化・ナレッジ管理,F2-3,変更作業手順書,変更作業の手順書整備。リスク評価・作業手順・確認項目・ロールバック手順。,基本手順,詳細手順書,チェックリスト付き
F_文書化・ナレッジ管理,F2-4,定期メンテナンス手順,定期メンテナンスの手順書。点検項目・更新作業・パフォーマンス確認。,基本点検項目,詳細メンテナンス手順,自動メンテナンス
F_文書化・ナレッジ管理,F2-5,チェックリスト確認項目,作業チェックリスト・確認項目の整備。作業漏れ防止・品質確保のためのチェック体制。,基本チェックリスト,詳細確認項目,多段階チェック
F_文書化・ナレッジ管理,F2-6,作業手順標準化,作業手順の標準化状況。作業者による差異の排除・品質の均一化。,基本標準化,詳細標準化,完全自動化
F_文書化・ナレッジ管理,F3-1,変更履歴作業ログ,変更履歴・作業ログの管理。いつ・誰が・何を・なぜ変更したかの記録。,基本ログ,詳細履歴管理,自動履歴記録
F_文書化・ナレッジ管理,F3-2,問題対応履歴,問題・インシデントの対応履歴管理。原因・対応・結果・改善策の記録。,基本対応記録,詳細問題管理,ナレッジベース化
F_文書化・ナレッジ管理,F3-3,ナレッジベースFAQ,ナレッジベース・FAQ の整備。よくある質問・トラブルシューティング・ベストプラクティス。,基本FAQ,充実ナレッジベース,AI支援FAQ
F_文書化・ナレッジ管理,F3-4,教訓改善事項記録,障害・問題からの教訓・改善事項の記録。再発防止・予防策の蓄積。,基本教訓記録,改善活動記録,継続改善システム
F_文書化・ナレッジ管理,F3-5,定期レビュー更新,文書・手順の定期レビューと更新。最新状況への適合・陳腐化防止。,年次見直し,四半期レビュー,継続的更新
F_文書化・ナレッジ管理,F3-6,文書バージョン管理,文書のバージョン管理体制。変更管理・承認フロー・アクセス制御。,基本管理,詳細バージョン管理,自動バージョン管理
G_監視・運用自動化,G1-1,監視項目閾値設定,DNS監視項目と閾値の設定状況。応答時間・可用性・エラー率等の監視基準。,基本監視項目,詳細監視設定,AI適応閾値
G_監視・運用自動化,G1-2,アラート通知体制,監視アラートの通知体制。通知先・通知レベル・エスカレーション条件。,メール通知,多経路通知,スマート通知
G_監視・運用自動化,G1-3,ダッシュボード整備,監視ダッシュボードの整備状況。リアルタイム状況・傾向分析・レポート機能。,基本ダッシュボード,詳細ダッシュボード,カスタムダッシュボード
G_監視・運用自動化,G1-4,監視データ保管分析,監視データの保管・分析体制。履歴データの蓄積・トレンド分析・予測分析。,1ヶ月保管,1年保管,長期分析基盤
G_監視・運用自動化,G1-5,監視システム冗長化,監視システム自体の冗長化。監視の監視・バックアップ監視システム。,単一監視,基本冗長化,完全冗長監視
G_監視・運用自動化,G1-6,監視漏れ盲点確認,監視漏れ・盲点の定期確認。監視範囲の妥当性・カバレッジの検証。,基本確認,定期点検,継続改善
G_監視・運用自動化,G2-1,設定変更自動化,DNS設定変更の自動化レベル。API・スクリプト・Infrastructure as Code による自動化。,手動変更のみ,スクリプト自動化,完全自動化
G_監視・運用自動化,G2-2,バックアップ自動化,バックアップの自動化状況。設定データ・ゾーンファイルの自動バックアップ。,手動バックアップ,スケジュール自動化,リアルタイム自動化
G_監視・運用自動化,G2-3,復旧自動化セルフヒーリング,障害時の自動復旧・セルフヒーリング機能。自動フェールオーバー・自動復旧。,手動復旧のみ,半自動復旧,完全自動復旧
G_監視・運用自動化,G2-4,定期タスク自動実行,定期メンテナンスタスクの自動実行。ログローテーション・クリーンアップ・ヘルスチェック。,手動実行,基本自動化,完全自動化
G_監視・運用自動化,G2-5,CICD統合デプロイ自動化,CI/CD パイプラインとの統合・デプロイ自動化。コードによるインフラ管理・自動テスト。,手動デプロイ,半自動デプロイ,完全CI/CD統合
G_監視・運用自動化,G2-6,インシデント自動エスカレーション,インシデントの自動エスカレーション。重要度判定・担当者自動割り当て・通知自動化。,手動エスカレーション,ルールベース自動化,AI自動エスカレーション
G_監視・運用自動化,G3-1,定期レポート自動作成,定期レポートの自動作成機能。稼働状況・パフォーマンス・セキュリティレポート。,手動レポート,基本自動化,高度自動分析
G_監視・運用自動化,G3-2,KPI測定トレンド分析,KPI測定・トレンド分析の自動化。性能指標・可用性指標・効率指標の継続測定。,基本測定,詳細分析,予測分析
G_監視・運用自動化,G3-3,改善提案推奨事項,システム改善提案・推奨事項の自動生成。パフォーマンス改善・コスト最適化・セキュリティ強化。,手動提案,基本推奨,AI改善提案
G_監視・運用自動化,G3-4,可用性性能レポート,可用性・性能レポートの自動生成。SLA達成状況・パフォーマンス分析・ボトルネック特定。,基本レポート,詳細分析レポート,予測レポート
G_監視・運用自動化,G3-5,セキュリティレポート,セキュリティレポートの自動生成。脅威検知・脆弱性分析・コンプライアンス状況。,基本セキュリティ情報,詳細セキュリティ分析,脅威インテリジェンス
G_監視・運用自動化,G3-6,コストレポート最適化提案,コストレポート・最適化提案の自動生成。費用分析・使用量最適化・契約見直し提案。,基本コスト情報,詳細コスト分析,最適化提案
H_DNS環境可視化・関連性,H1-1,ドメインアプリケーション対応表,DNSドメインと業務アプリケーションの対応表整備。どのドメインがどのアプリケーションで使用されているか。,基本対応表,詳細関連図,自動関連付け
H_DNS環境可視化・関連性,H1-2,WebサービスAPIエンドポイント関連,Webサービス・APIエンドポイントとDNSの関連性。サービスディスカバリー・ロードバランシング。,基本関連,詳細マッピング,動的サービス管理
H_DNS環境可視化・関連性,H1-3,メールシステムMXレコード関連,メールシステム（MXレコード）とDNSの関連性。メールルーティング・冗長化・優先度設定。,基本MX設定,詳細メール構成,高可用性メール
H_DNS環境可視化・関連性,H1-4,CDNロードバランサ関連,CDN・ロードバランサとDNSの関連性。地理的分散・パフォーマンス最適化・可用性向上。,CDN未使用,基本CDN設定,高度分散設定
H_DNS環境可視化・関連性,H1-5,マイクロサービス間通信利用状況,マイクロサービス間通信でのDNS利用状況。サービスメッシュ・内部DNS・コンテナ間通信。,モノリス構成,基本マイクロサービス,完全サービスメッシュ
H_DNS環境可視化・関連性,H1-6,外部サービス連携DNS依存関係,外部サービス連携でのDNS依存関係。API連携・SaaS連携・クラウドサービス連携。,外部連携少,中程度連携,高度外部統合
H_DNS環境可視化・関連性,H2-1,クラウドサービス利用状況,クラウドサービス（AWS Route53、Azure DNS等）の利用状況。ハイブリッド・マルチクラウド構成。,オンプレミスのみ,ハイブリッド構成,マルチクラウド
H_DNS環境可視化・関連性,H2-2,オンプレハイブリッドクラウド構成,オンプレミス・ハイブリッドクラウド構成でのDNS設計。内部DNS・外部DNS・統合管理。,オンプレミス単独,基本ハイブリッド,統合ハイブリッド
H_DNS環境可視化・関連性,H2-3,VPN専用線DNS解決経路,VPN・専用線でのDNS解決経路。ネットワーク分離・セキュリティゾーン・DNS フォワーディング。,インターネットDNS,VPN経由DNS,専用線DNS
H_DNS環境可視化・関連性,H2-4,内部DNS連携,内部DNS（Active Directory等）との連携状況。統合認証・内部名前解決・ゾーン統合。,内部DNS独立,基本連携,完全統合
H_DNS環境可視化・関連性,H2-5,プロキシファイアウォールDNS処理,プロキシ・ファイアウォールでのDNS処理。DNS フィルタリング・セキュリティ制御・ログ記録。,DNS制御なし,基本DNS制御,高度DNS セキュリティ
H_DNS環境可視化・関連性,H2-6,コンテナKubernetes環境DNS設定,コンテナ・Kubernetes環境でのDNS設定。Pod間通信・サービスディスカバリー・名前解決。,コンテナ未使用,基本Kubernetes_DNS,高度サービスメッシュ
H_DNS環境可視化・関連性,H3-1,DNSクエリ量利用パターン分析,DNSクエリ量・利用パターンの分析状況。トラフィック解析・利用者行動・パフォーマンス分析。,基本ログ分析,詳細パターン分析,AI利用分析
H_DNS環境可視化・関連性,H3-2,地理的アクセス分布,DNS アクセスの地理的分布分析。地域別利用状況・レイテンシ分析・最適化機会。,国内アクセスのみ,地域分析,グローバル分析
H_DNS環境可視化・関連性,H3-3,ピーク時オフ時負荷変動,ピーク時・オフ時の負荷変動分析。時間帯別パターン・季節変動・イベント影響。,負荷変動小,定期パターン分析,予測モデル
H_DNS環境可視化・関連性,H3-4,モバイルデスクトップ別アクセス特性,モバイル・デスクトップ別のアクセス特性分析。デバイス別パフォーマンス・利用パターン。,デバイス区別なし,基本デバイス分析,詳細デバイス最適化
H_DNS環境可視化・関連性,H3-5,異常クエリ攻撃パターン検知,異常なクエリ・攻撃パターンの検知状況。DDoS・DNSトンネリング・不審なクエリの検出。,基本検知,パターン検知,AI異常検知
H_DNS環境可視化・関連性,H3-6,キャッシュ効果TTL最適化状況,キャッシュ効果・TTL最適化の状況。キャッシュヒット率・TTL適正値・パフォーマンス向上。,デフォルトTTL,基本最適化,動的最適化
H_DNS環境可視化・関連性,H4-1,上流下流依存関係,アップストリーム・ダウンストリームの依存関係マッピング。他システム・外部サービスとの依存関係。,基本関連図,詳細依存関係,動的依存分析
H_DNS環境可視化・関連性,H4-2,単一点障害SPOF特定,単一点障害（SPOF）の特定と対策状況。DNS インフラの脆弱点・リスク評価。,SPOF存在,基本冗長化,完全SPOF排除
H_DNS環境可視化・関連性,H4-3,障害時影響範囲ユーザ影響度,障害時の影響範囲・ユーザ影響度評価。ビジネス継続性・サービス停止影響・ユーザ数。,影響度未評価,基本影響評価,定量的影響分析
H_DNS環境可視化・関連性,H4-4,災害復旧DR時DNS切替計画,災害復旧（DR）時のDNS切替計画。代替サイト・バックアップシステム・切替手順。,DR計画なし,基本DR計画,詳細DR自動化
H_DNS環境可視化・関連性,H4-5,メンテナンス時影響最小化対策,メンテナンス時の影響最小化対策。無停止切替・段階的切替・影響時間短縮。,メンテナンス停止,基本無停止化,完全無停止運用
H_DNS環境可視化・関連性,H4-6,他システム連鎖障害リスク,他システムへの連鎖障害リスク評価。DNS障害による他システムへの波及影響。,連鎖影響未評価,基本リスク評価,詳細リスク管理
I_DNS環境統合・標準化,I1-1,ドメイン命名規則標準化状況,ドメイン命名規則・標準化の状況。組織・システム・環境別の命名ルール統一。,命名ルールなし,基本命名規則,厳格命名統一
I_DNS環境統合・標準化,I1-2,DNSサーバ構成標準テンプレート,DNSサーバ構成の標準テンプレート。設定統一・デプロイ標準化・管理効率化。,個別設定,基本テンプレート,自動テンプレート
